Station Name,Latitude,Longitude,Elevation,IATA,WMO ID,Climate ID,Starting Date (hourly data),Ending Date (hourly data),Starting Date (daily data),Ending Date (daily data),Associated Location
RAMORE TS,48.33,-80.43,287 m,,,6076870,,,1960-11-01,1966-08-01,
RAMPART HOUSE,0,0,,,,2100920,,,1918-09-01,1919-08-01,
RAMPART RIVER,65.95,-130.47,155 m,WMU,,2203390,1994-07-22,2002-12-07,1994-11-01,2003-05-01,
RAMSAY,47.45,-82.33,430 m,,,6066873,,,1973-08-01,1983-05-01,
RAMSAYVILLE CRF,45.42,-75.55,79 m,,,6106874,,,1972-01-01,1976-09-01,
RAMSEY,47.42,-82.32,426 m,,,6066875,,,1948-11-01,1967-09-01,
RAMSEY 2,47.47,-81.87,402 m,,,6066877,,,1984-06-01,1986-07-01,
RANBORO EST,45.32,-71.52,343 m,,,7026344,,,1973-12-01,1981-12-01,
RANBORO SUD,45.32,-71.53,,,,7026345,,,1973-01-01,1973-07-01,
RANCHERIA,60.08,-130.6,866 m,,,2100932,,,1980-11-01,1981-02-01,
RANFURLY,53.45,-111.65,686 m,,,3015400,,,1905-01-01,1991-07-01,
RANFURLY 2NW,53.42,-111.73,673 m,,,3015405,,,1980-10-01,2014-11-01,
RANFURLY AUTO,53.42,-111.73,687 m,PNX,71637,3015401,2013-11-07,+,2013-11-01,2021-03-01,
RANKIN INLET,62.8,-92.07,31 m,,,2303400,,,1954-06-01,1962-06-01,
RANKIN INLET A (Rankin Inlet Airport),62.81,-92.11,32 m,YRT,71083,2303405,2013-03-12,+,2013-03-01,+,Rankin Inlet
RANKIN INLET A (Rankin Inlet Airport),62.82,-92.12,32 m,YRT,71083,2303401,1981-01-15,2013-03-14,1981-01-01,2013-03-01,Rankin Inlet
RANKIN INLET ARTC,62.82,-92.08,14 m,,,2303403,,,1976-04-01,1976-12-01,
RAPID CITY,50.12,-99.93,546 m,,,501233B,,,1977-08-01,1997-07-01,
RAPID CITY FORREST,50.02,-100,488 m,,,5012333,,,1885-04-01,1939-04-01,
RAPIDE BLANC,47.8,-72.97,277 m,,,7076360,,,1931-01-01,1974-10-01,
RAPIDE DES CEDRES,49.02,-77.07,280 m,,,7096375,,,1963-11-01,1979-09-01,
RAPIDE DES JOACHIMS,46.2,-77.7,137 m,,,7086380,,,1975-10-01,2012-09-01,
RAPIDE NO 2,47.93,-78.57,290 m,,,7086440,,,1952-09-01,1969-08-01,
RAPIDE-SEPT,47.77,-78.3,311 m,,,7086400,,,1941-08-01,1975-07-01,
RAPIDS DEPOT,47.82,-67.75,168 m,,,8104284,,,1972-10-01,1988-06-01,
RASPBERRY LO,50.3,-114.52,2362 m,,,3055410,,,1963-05-01,2011-09-01,
RAT RAPIDS,51.2,-90.23,375 m,,,6016890,,,1934-07-01,1953-07-01,
RAT RIVER,56.13,-99.48,250 m,,,5062336,,,2000-02-01,2001-08-01,
RATHWELL,49.68,-98.55,324 m,,,5022335,,,1967-05-01,2001-02-01,
RATTLING BRK NORRIS ARM,49.07,-55.3,9 m,,,8403085,,,1958-12-01,2008-08-01,
RATTLING BROOK DEPOT,48.97,-55.53,18 m,,,8403075,,,1956-06-01,1957-06-01,
RAVENNA,44.53,-80.42,,,,6116899,,,1948-06-01,1953-01-01,
RAVENNA,44.47,-80.42,396 m,,,6116900,,,1965-12-01,1975-08-01,
RAVENSCLIFFE,45.35,-79.27,305 m,,,6116901,,,2006-08-01,2016-08-01,
RAVENSCRAG,49.48,-109.08,953 m,,,4036440,,,1956-01-01,1969-10-01,
RAVENSHOE,44.22,-79.4,251 m,,,6116902,,,1970-04-01,1992-07-01,
RAWDON,45.05,-63.78,183 m,,,8204550,,,1956-05-01,1976-12-01,
RAWDON,46.02,-73.81,210 m,MWD,,7016350,2005-01-25,2007-06-14,,,
RAWSON LAKE,49.65,-93.72,358 m,,,6036904,,,1969-06-01,2021-02-01,
RAWSON LAKE (AUT),49.66,-93.73,435 m,TRA,71855,6036907,2005-01-09,+,2003-12-01,2021-03-01,
RAYMOND,49.45,-112.7,957 m,,,3035420,,,1910-05-01,1976-12-01,
RAYMOND AGDM,49.48,-112.68,937 m,PRY,71536,3035422,2004-06-16,+,2004-06-01,2021-03-01,
RAYMORE,51.57,-104.58,564 m,,,4016450,,,1963-07-01,1990-07-01,
RAYNER,46.33,-83.5,244 m,,,6056907,,,1950-05-01,1970-08-01,
REA POINT,75.38,-105.72,15 m,ZRP,71983,2403450,1969-05-10,2021-01-08,1969-05-01,2021-01-01,
READLYN,49.58,-105.67,676 m,,,4026480,,,1934-07-01,1987-06-01,
RED BAY,51.73,-56.43,18 m,,,8503081,,,1990-07-01,1996-06-01,
RED CEDAR LAKE DAM,46.68,-80.02,270 m,,,6086930,,,1950-06-01,1954-09-01,
RED CLIFF,48.95,-55.75,82 m,,,8403082,,,1991-11-01,1996-06-01,
RED DEER,52.28,-113.82,860 m,,,3025440,,,1904-07-01,1974-04-01,
RED DEER,52.31,-113.79,847 m,,,3025441,,,1974-05-01,2013-03-01,
RED DEER A (Red Deer Regional Airport),52.18,-113.89,905 m,YQF,71878,3025480,1953-01-01,2014-05-01,1938-02-01,2014-04-01,Red Deer
RED DEER CCOC,52.25,-113.83,878 m,,,3025445,,,2004-10-01,2012-04-01,
RED DEER OVERLAP,52.18,-112.11,905 m,,,3025483,,,2018-03-01,2020-11-01,Red Deer
RED DEER REGIONAL A (Red Deer Regional Airport),52.18,-113.89,905 m,YQF,71878,3025484,2020-06-03,+,2020-06-01,+,Red Deer
RED DEER REGIONAL A (Red Deer Regional Airport),52.18,-113.89,905 m,YQF,71878,3025481,2014-04-29,+,2014-05-01,+,Red Deer
RED DEER RS,51.67,-115.22,1451 m,,,3055485,,,1958-07-01,1972-10-01,
RED EARTH (Red Earth),56.55,-115.28,546 m,WRD,71246,3075488,1994-02-01,+,1994-03-01,+,Red Earth Creek
RED EARTH,56.55,-115.37,518 m,,,3075489,,,1973-07-01,1973-11-01,
RED EARTH LO,56.67,-115.12,610 m,,,3075491,,,1959-04-01,2011-08-01,
RED EARTH RS,56.63,-115.12,518 m,,,30754R1,,,1983-07-01,1990-07-01,
RED HARBOUR PB,47.3,-55.01,24 m,,,8403083,,,1989-12-01,2006-02-01,
RED LAKE,50.94,-120.8,1162 m,,,1166658,,,1974-05-01,2021-03-01,
RED LAKE,51.07,-93.8,383 m,,,6016974,1994-02-01,1994-06-21,,,
RED LAKE 2,50.9,-120.77,990 m,,,1166659,,,1979-11-01,1985-05-01,
RED LAKE A (Red Lake Airport),51.07,-93.79,386 m,YRL,71854,6016970,2012-05-07,+,2012-05-01,2018-10-01,Pikangikum
,,,,,,,,,,,Red Lake
RED LAKE A (Red Lake Airport),51.07,-93.79,386 m,YRL,71854,6016975,1953-01-02,2012-05-10,1930-09-01,2012-05-01,Pikangikum
,,,,,,,,,,,Red Lake
RED LAKE A (Red Lake Airport),51.07,-93.79,386 m,YRL,,6016971,2013-04-11,+,2018-10-01,+,Pikangikum
,,,,,,,,,,,Red Lake
RED LAKE FORESTRY,51.07,-93.82,376 m,,,6016979,,,1959-05-01,1960-09-01,
RED PASS JUNCTION,53,-119,1059 m,,,1096660,,,1931-11-01,1969-06-01,
RED PASS MT ROBSON PARK,52.98,-119,1067 m,,,1096665,,,1970-07-01,1975-04-01,
RED PINE CHUTE,46.85,-78.62,274 m,,,7086452,,,1927-06-01,1941-09-01,
RED PINES,47.44,-65.6,124 m,ARP,71634,8104295,2010-06-30,+,2010-06-01,2021-03-01,
RED SUCKER LAKE A,54.17,-93.55,228 m,,,5062337,,,1985-10-01,1989-03-01,
RED WILLOW,52.42,-112.57,783 m,,,301NDR1,,,1989-12-01,2002-06-01,
REDCLIFF,50.07,-110.77,741 m,,,3035434,,,1976-07-01,1984-08-01,
REDICKVILLE,44.23,-80.22,526 m,,,6146939,,,1944-10-01,1985-01-01,
REDLAND,51.37,-113.07,853 m,,,30254RJ,,,1966-04-01,1975-07-01,
REDMOND,50.23,-87.5,326 m,,,6046989,,,1952-06-01,1956-09-01,
REDSTONE,52.1,-123.65,809 m,,,1096691,,,1957-01-01,1957-03-01,
REDSTONE STUART RANCH,52.15,-123.7,842 m,,,1086695,,,1980-10-01,1991-10-01,
REDVERS,49.58,-101.7,594 m,,,4016520,,,1950-06-01,1973-09-01,
REDVERS,49.6,-101.72,596 m,,,4016521,,,1974-05-01,2008-03-01,
REDVERS,49.53,-101.7,587 m,,,4016522,,,1978-10-01,1982-06-01,
REDWATER,54,-113.18,617 m,,,301N49A,,,1990-07-01,2008-03-01,
REDWATER SOUTH,53.83,-113.12,627 m,,,301R001,,,1997-10-01,2000-07-01,
REES TOWER,59.67,-115.2,945 m,,,307NM9J,,,1986-06-01,1990-08-01,
REGENT,49.32,-100.37,501 m,,,5012340,,,1955-03-01,1966-10-01,
REGINA BUSCH,50.43,-104.67,577 m,,,4016570,,,2003-11-01,2004-05-01,
REGINA CATHEDRAL,50.45,-104.65,579 m,,,4016590,,,1959-09-01,1959-09-01,
REGINA CDA,50.4,-104.57,573 m,,,4016640,,,1932-04-01,1993-12-01,
REGINA CITY GREENHOUSES,50.47,-104.6,579 m,,,4016641,,,1962-04-01,1985-10-01,
REGINA CO-OP UPGRADER SNOW,50.49,-104.59,585 m,,,4016562,,,2004-09-01,2013-03-01,
REGINA COTE,50.43,-104.67,577 m,,,401R001,,,1997-11-01,2002-04-01,
REGINA EXP FARM SUBSTN,50.38,-104.58,579 m,,,4016643,,,1959-06-01,1962-10-01,
REGINA GILMOUR,50.57,-104.83,556 m,,,4016651,,,1970-05-01,2016-09-01,
REGINA HILLSDALE,50.42,-104.6,573 m,,,4016660,,,1959-08-01,1966-05-01,
REGINA INT'L A (Regina Int'l Airport),50.43,-104.67,578 m,YQR,71863,4016560,1953-01-01,2013-10-10,1883-12-01,2013-11-01,Regina
REGINA INTL A (Regina Int'l Airport),50.43,-104.67,578 m,YQR,,4016566,2013-10-08,+,2018-10-01,+,Regina
REGINA KING,50.52,-104.5,602 m,,,4016673,,,1967-09-01,1980-11-01,
REGINA LEGISLATIVE GRNDS,50.43,-104.63,579 m,,,4016680,,,1952-08-01,1968-09-01,
REGINA MEMORIAL GARDENS,50.43,-104.52,590 m,,,4016690,,,1959-11-01,1973-04-01,
REGINA NORMANDY HEIGHTS,50.43,-104.63,573 m,,,4016695,,,1960-09-01,1975-09-01,
REGINA RCMP SNOW,50.45,-104.67,570 m,,,4016565,,,2004-09-01,2016-05-01,
REGINA RCS,50.43,-104.67,577 m,WDJ,71514,4016699,1996-01-30,+,1999-10-01,+,Regina
REGINA SIAST SNOW,50.41,-104.58,574 m,,,4016563,,,2004-09-01,2015-03-01,
REGINA SOUTH HILLSDALE,50.42,-104.6,573 m,,,4016725,,,1960-09-01,1973-01-01,
REGINA TRANSCONA,50.47,-104.67,579 m,,,4016730,,,1959-09-01,1960-08-01,
REGINA UNIVERSITY,50.42,-104.58,573 m,,,401FFDB,1996-03-14,2000-06-27,1968-10-01,2000-05-01,
REGINA WATERWORKS,50.53,-104.48,602 m,,,4016760,,,1952-07-01,1967-08-01,
REGINA WHITMORE,50.4,-104.6,575 m,,,4016780,,,1959-08-01,1964-11-01,
REGION OF WATERLOO INT'L AIRPORT,43.46,-80.38,321 m,,,6149388,2002-10-03,2010-04-08,2002-10-01,2011-05-01,Cambridge
,,,,,,,,,,,Kitchener-Waterloo
REIDVILLE,49.12,-122.85,99 m,,,1106720,,,1953-04-01,1958-08-01,
REINDEER LAKE,57.88,-101.67,225 m,,,5062350,,,2000-02-01,2001-10-01,
REMIGNY,47.72,-79.23,290 m,,,7086460,,,1971-01-01,2004-04-01,
RENAULT,49.78,-75.87,335 m,,,7096462,,,1977-06-01,1980-09-01,
RENFREW,45.48,-76.7,130 m,,,6107002,,,1968-06-01,1996-09-01,
RENFREW,45.43,-76.65,127 m,,,6107003,,,1882-08-01,1929-06-01,
RENFREW SAND POINT,45.48,-76.43,127 m,,,6107004,,,1929-09-01,1959-08-01,
RENNELL SOUND,53.3,-132.42,3 m,,,1056742,,,1974-07-01,1975-11-01,
RENNIE,49.85,-95.53,323 m,,,5032360,,,1948-06-01,2021-02-01,
RENOUS,46.8,-65.8,46 m,,,8104300,,,1953-11-01,1978-07-01,
REPULSE BAY A (Repulse Bay Airport),66.52,-86.22,23 m,YUT,,2403490,1984-10-02,2013-12-12,1973-08-01,2014-09-01,Naujaat
RESOLUTE BAY A (Resolute Airport),74.72,-94.97,68 m,YRB,71924,2403498,2014-11-04,+,2014-11-01,+,Resolute
RESOLUTE BAY A (Resolute Airport),74.72,-94.97,68 m,YRB,,2403497,2016-01-13,+,2018-10-01,+,Resolute
RESOLUTE CARS (Resolute Airport),74.72,-94.97,68 m,YRB,71924,2403500,1953-01-01,2014-11-06,1947-10-01,2014-11-01,Resolute
RESOLUTE CS,74.72,-94.98,30 m,XRB,71018,2403505,2002-10-17,+,2002-10-01,2021-03-01,
RESOLUTION ISLAND,61.3,-64.88,39 m,,,2403600,1953-01-01,1961-10-21,1929-10-01,1961-10-01,
RESOLUTION ISLAND,61.58,-64.65,369 m,WRH,71972,2403602,1962-03-12,+,1962-03-01,2021-03-01,
RESTON,49.55,-101.1,464 m,,,5012400,,,1952-06-01,1994-06-01,
REVELSTOKE,51,-118.2,456 m,,,1176750,1953-01-01,1969-11-30,1898-05-01,1969-11-01,
REVELSTOKE A (Revelstoke Airport),50.97,-118.18,445 m,YRV,71685,1176745,2011-10-17,+,2011-10-01,+,Revelstoke
REVELSTOKE A,50.96,-118.18,445 m,ZRV,,1176749,1994-02-01,2014-05-27,1990-03-01,2013-03-01,
REVELSTOKE AIRPORT AUTO,50.96,-118.18,445 m,VRA,71882,1176755,2011-07-06,+,2012-06-01,2021-03-01,
REVELSTOKE AIRPORT RD,50.95,-118.17,450 m,,,1176751,1969-12-01,1999-04-06,1969-12-01,1999-08-01,
REVELSTOKE CARNES CREEK,51.28,-118.13,960 m,,,1176GEB,,,1989-06-01,1989-11-01,
REVELSTOKE COLUMBIA PARK,51.01,-118.22,446 m,,,1176754,,,2007-07-01,2015-01-01,
REVELSTOKE MT COPELAND,51.2,-118.38,1847 m,,,1176753,,,1969-01-01,1973-10-01,
REXTON,46.67,-64.87,5 m,,,8104400,,,1922-10-01,2013-12-01,
RIBSTONE SOUTH AGCM,52.59,-110.34,644 m,PRS,71089,3015480,2008-01-08,+,2007-09-01,2021-03-01,
RICH LAKE AGDM,54.5,-111.7,585 m,XRL,71349,3065475,1997-03-05,+,2001-12-01,2021-03-01,
RICHARDSON LO,57.92,-110.97,305 m,,,3065492,,,1960-04-01,2011-05-01,
RICHER,49.65,-96.45,291 m,,,5022420,,,1979-05-01,1998-04-01,
RICHLAND,50.22,-118.5,716 m,,,1166760,,,1962-06-01,1975-06-01,
RICHLEA,51.15,-108.6,678 m,,,4026787,,,1961-08-01,1965-05-01,
RICHMOND,45.15,-75.9,110 m,,,61070AA,,,1981-08-01,1984-08-01,
RICHMOND,45.17,-75.78,99 m,,,6107010,,,1973-04-01,1974-11-01,
RICHMOND,45.18,-75.85,98 m,,,6107011,,,1971-06-01,1972-07-01,
RICHMOND,45.63,-72.13,123 m,,,7026465,,,1871-10-01,2020-12-01,
RICHMOND BROADMOOR,49.13,-123.13,1 m,,,1106763,,,1986-04-01,1993-04-01,
RICHMOND BROADMOOR 2,49.15,-123.12,2 m,,,1106GF3,,,1990-12-01,1993-08-01,
RICHMOND CBC TRANSMITTER,49.15,-123.12,2 m,,,1106762,,,1961-12-01,1969-04-01,
RICHMOND DALLYN 2,49.18,-123.09,2 m,,,1106764,,,1963-11-01,2021-03-01,
RICHMOND EAST,49.18,-122.97,1 m,,,1106765,,,1959-11-01,1961-11-01,
RICHMOND GEAL RD,49.15,-123.17,1 m,,,1106P6N,,,1976-06-01,1988-10-01,
RICHMOND HILL,43.88,-79.45,240 m,,,6157012,,,1959-06-01,2014-02-01,
RICHMOND HILL 2,43.9,-79.4,233 m,,,6157015,,,1989-06-01,1991-10-01,
RICHMOND HILL WPCP,43.87,-79.43,218 m,,,6157014,,,1960-05-01,1981-10-01,
RICHMOND MCLENNAN ROAD,49.2,-123.1,2 m,,,1106766,,,1970-04-01,1973-05-01,
RICHMOND MINLER ROAD,49.15,-123.15,1 m,,,1106767,,,1970-04-01,1970-09-01,
RICHMOND NATURE PARK,49.17,-123.09,3 m,,,1106PF7,,,1977-03-01,2021-03-01,
RICHMOND NELSON RD,49.17,-123.02,2 m,,,1106768,,,1961-02-01,1963-09-01,
RICHMOND OPERATIONS CENTRE,49.18,-123.08,16 m,VMO,71112,1105210,2010-02-18,2018-07-05,2010-02-01,2018-07-01,Richmond
,,,,,,,,,,,Vancouver
RICHMOND RIVER ROAD EAST,49.2,-123.03,2 m,,,1106770,,,1970-04-01,1970-08-01,
RICINUS,52.08,-115,1149 m,,,3015493,,,1983-07-01,1987-09-01,
RIDEAU C BURRITS RAPIDS,44.98,-75.8,88 m,,,6107031,,,1954-01-01,1969-05-01,
RIDEAU CANAL BOBS LAKE,44.73,-76.6,178 m,,,6107017,,,1954-01-01,1961-12-01,
RIDEAU CANAL JONES FALLS,44.55,-76.23,101 m,,,6107045,,,1954-01-01,1969-05-01,
RIDEAU CANAL KILMARNOCK,44.88,-75.93,107 m,,,6107059,,,1954-01-01,1969-05-01,
RIDEAU CANAL LONG ISLAND,45.25,-75.7,84 m,,,6107073,,,1954-01-01,1969-05-01,
RIDEAU CANAL NARROWS,44.7,-76.3,125 m,,,6107087,,,1954-01-01,1969-05-01,
RIDEAU CANAL PERTH,44.9,-76.25,134 m,,,6107096,,,1954-03-01,1956-04-01,
RIDEAU CANAL UPP BREWERS,44.42,-76.32,99 m,,,6107105,,,1954-01-01,1967-12-01,
RIDEAU CANAL WOLFE LAKE,44.6,-76.4,125 m,,,6107119,,,1954-01-01,1961-12-01,
RIDEAU FERRY,44.85,-76.15,130 m,,,6107133,,,1948-05-01,1969-05-01,
RIDEAU NARROWS LOCKS,44.7,-76.3,125 m,WJM,,6106022,1994-09-14,1998-04-01,1994-09-01,1998-04-01,
RIDGEDALE,53.05,-104.25,413 m,,,4076790,,,1929-01-01,1966-02-01,
RIDGETOWN,42.45,-81.88,206 m,,,6137147,,,1883-04-01,1986-04-01,
RIDGETOWN AUTOMATIC CLIMATE STATION,42.45,-81.88,206 m,,,6137149,,,1986-05-01,2003-01-01,Chatham-Kent
,,,,,,,,,,,Rodney
RIDGETOWN RCS (Ridgetown),42.45,-81.88,206 m,XRG,71307,6137154,2003-02-24,+,2003-02-01,+,Chatham-Kent
,,,,,,,,,,,Rodney
RIDGEVILLE,43.04,-79.33,236 m,,,6137161,,,1950-02-01,2021-02-01,
RIDING MOUNTAIN PARK,50.7,-99.68,756 m,,,5042425,,,1960-08-01,1983-06-01,
RIDING MTN AUDY,50.72,-100.23,572 m,,,5012423,,,1977-09-01,1990-04-01,
RIGAUD,45.5,-74.37,46 m,,,7016470,,,1963-01-01,2020-12-01,
RIGAUD 2,45.48,-74.29,30 m,MRI,,7016472,2003-10-07,2006-08-01,2003-11-01,2006-08-01,
RIGOLET,54.18,-58.43,31 m,,,8503090,,,1973-01-01,1975-11-01,
RILEY BROOK,47.18,-67.2,171 m,,,8104450,,,1955-07-01,1970-02-01,
RIMBEY,52.63,-114.23,917 m,,,3025494,,,1957-01-01,1991-12-01,
RIMOUSKI,48.45,-68.52,36 m,,,7056480,,,1952-12-01,2021-02-01,Rimouski
RISKE CREEK FTP,52.02,-122.52,1006 m,,,1096775,,,1965-08-01,1970-05-01,
RIVER DENYS,45.8,-61.22,27 m,,,8204565,,,1966-12-01,1988-03-01,
RIVER HEBERT,45.6,-64.35,24 m,,,8204570,,,1962-07-01,1980-05-01,
RIVER JOHN,45.72,-63,58 m,,,8204577,,,1992-08-01,1995-03-01,
RIVER JOHN,45.75,-63.12,13 m,,,8204578,,,1979-06-01,1986-04-01,
RIVER JORDAN,48.42,-124.05,3 m,,,1016780,,,1908-01-01,1972-09-01,
RIVERCOURSE,52.97,-110.02,625 m,,,3015500,,,1961-07-01,1966-06-01,
RIVERCOURSE AGCM,53.02,-110.1,669 m,PRA,71102,3015501,2007-06-27,+,2007-06-01,2021-03-01,
RIVERHURST,50.92,-106.87,647 m,,,4026799,,,1967-10-01,1971-03-01,
RIVERS,50.03,-100.23,476 m,,,5012439,,,1984-08-01,1991-01-01,
RIVERS A,50.02,-100.32,473 m,,,5012440,1953-01-01,1983-10-30,1938-07-01,1970-10-01,
RIVERS INLET,51.67,-127.35,6 m,,,1066787,,,1893-10-01,1943-02-01,
RIVERS INLET GOOD HOPE,51.6,-127.5,3 m,,,1066788,,,1970-02-01,1971-05-01,
RIVERS PETTAPIECE,50.11,-100.18,488 m,,,501BMMA,,,1987-07-01,2021-03-01,
RIVERTON,50.98,-96.98,220 m,,,5032443,,,1967-07-01,1969-03-01,
RIVIERE A MARS,48,-71,518 m,,,7066550,,,1963-01-01,1963-11-01,
RIVIERE A PIERRE,47,-72.17,221 m,,,7016560,,,1949-08-01,1994-05-01,
RIVIERE AU RENARD,49.02,-64.4,41 m,,,7056563,1958-08-18,1977-08-31,1958-08-01,1977-08-01,
RIVIERE AU TONNERRE,50.28,-64.78,15 m,,,704FEG0,,,1965-11-01,2020-12-01,
RIVIERE AUX FEUILLES,57.91,-72.98,171 m,MRF,71743,7116505,2005-09-19,+,2006-04-01,2021-03-01,
RIVIERE AUX PEKANS,53.22,-67.1,488 m,,,7046580,,,1958-08-01,1960-02-01,
RIVIERE AUX RATS,49.42,-72.2,186 m,,,7066583,,,1963-01-01,1974-09-01,
RIVIERE BLEUE,47.43,-69.03,213 m,,,7056600,,,1950-11-01,2004-04-01,
RIVIERE CHIGOUBICHE,48.98,-73.3,335 m,,,706FFA0,,,1973-06-01,1973-09-01,
RIVIERE DES PRAIRIES,45.7,-73.5,9 m,,,7026612,,,1973-01-01,2020-12-01,
RIVIERE DU LOUP,47.8,-69.55,148 m,,,7056615,1965-06-01,1980-04-30,1965-06-01,1980-04-01,
RIVIERE EASTMAIN,52.32,-77.1,247 m,,,7096618,,,1973-07-01,1975-08-01,
RIVIERE ETERNITE,48.25,-70.4,256 m,,,7046619,,,1973-08-01,1991-07-01,
RIVIERE HEVA,48.2,-78.13,305 m,,,7096621,,,1984-06-01,2004-04-01,
RIVIERE JOLY,49.15,-71.18,351 m,,,7066623,,,1977-05-01,1977-08-01,
RIVIERE KINOJEVIS,48.22,-78.87,290 m,,,7086630,,,1974-07-01,1994-05-01,
RIVIERE MANIE,47.4,-69.65,308 m,,,7056640,,,1953-08-01,1964-06-01,
RIVIERE MICHEL,52.33,-77.08,183 m,,,7096650,,,1960-06-01,1960-09-01,
RIVIERE RUPERT,51.35,-77.33,259 m,,,7096661,,,1974-06-01,1974-08-01,
RIVIERE ST AUGUSTIN,51.22,-58.63,8 m,,,7046663,,,1967-11-01,1995-03-01,
RIVIERE ST JEAN,50.3,-64.32,15 m,,,704FFF5,,,1972-12-01,1986-04-01,
RIVIERE TEMISCAMIE,50.95,-73.03,412 m,,,7096669,,,1973-10-01,1977-08-01,
RIVIERE TURGEON,48.98,-79.17,284 m,,,709FFG0,,,1965-11-01,1972-07-01,
RIVIERE VERTE OUEST,46.98,-71.83,213 m,,,7016675,,,1966-01-01,2020-12-01,
RIVIERE-DU-LOUP (Rivière-du-Loup),47.81,-69.55,147 m,WNH,71715,7056616,1994-02-01,+,1992-12-01,+,Rivière-du-Loup
,,,,,,,,,,,Temiscouata
,,,,,,,,,,,Trois-Pistoles
RIVIERE-DU-LOUP / ST-ANTONIN,47.8,-69.45,152 m,,,7056870,,,2005-01-01,2021-03-01,
ROADENE,50.48,-108.75,723 m,,,4026840,,,1936-04-01,1989-10-01,
ROBB RS,53.23,-116.97,1130 m,,,3065505,,,1965-11-01,1996-09-01,
ROBERT'S ARM,49.5,-55.82,30 m,,,8403093,,,1982-11-01,1996-01-01,
ROBERTS CREEK,49.4,-123.68,4 m,,,1046791,,,1924-01-01,1942-11-01,
ROBERTS CREEK EAST,49.43,-123.62,143 m,,,1046795,,,1956-02-01,1960-12-01,
ROBERTS LAKE,45.23,-79.82,244 m,,,6117167,,,1971-11-01,1976-05-01,
ROBERTSON LAKE (AUT),65.1,-102.43,244 m,WTD,71490,2303610,1992-11-09,+,1994-12-01,2021-03-01,
ROBERVAL A (Roberval Airport),48.52,-72.27,179 m,YRJ,,7066687,2016-01-13,+,2018-10-01,+,Lac-Saint-Jean
,,,,,,,,,,,Roberval
,,,,,,,,,,,Saint-Félicien
ROBERVAL A (Roberval Airport),48.52,-72.27,179 m,YRJ,71728,7066685,1958-01-01,2014-03-06,1957-10-01,2014-03-01,Lac-Saint-Jean
,,,,,,,,,,,Roberval
,,,,,,,,,,,Saint-Félicien
ROBERVAL A (Roberval Airport),48.52,-72.27,179 m,YRJ,71728,7066686,2014-03-04,+,2014-03-01,+,Lac-Saint-Jean
,,,,,,,,,,,Roberval
,,,,,,,,,,,Saint-Félicien
ROBERVAL NORD,48.53,-72.23,102 m,,,7066688,,,1888-04-01,1967-07-01,
ROBICHAUD,46.22,-64.38,8 m,,,8104458,,,1982-02-01,1993-04-01,
ROBLIN,51.23,-101.38,556 m,,,5012471,,,1969-11-01,1979-12-01,
ROBLIN,51.23,-101.38,556 m,,,5012472,,,1980-04-01,1997-03-01,
ROBLIN (Roblin),51.18,-101.36,540 m,WXB,71553,5012469,1996-08-29,+,1996-03-01,+,Roblin
ROBLIN FRIESEN 3 NORTHWEST,51.27,-101.4,556 m,,,501B4G2,,,1991-03-01,2021-03-01,
ROBLIN NORTH,51.37,-101.4,587 m,,,5012473,,,1980-06-01,1986-05-01,
ROBSART,49.38,-109.35,962 m,,,4036841,,,1971-06-01,1984-08-01,
ROBSON,49.33,-117.7,442 m,,,1146810,,,1946-02-01,1980-03-01,
ROCANVILLE,50.47,-101.55,479 m,,,4016842,,,1968-06-01,2014-05-01,
ROCHESTER,54.4,-113.53,648 m,,,3065510,,,1956-02-01,1969-08-01,
ROCHESTER NORTH,54.45,-113.52,655 m,,,3065512,,,1970-05-01,1981-09-01,
ROCK CREEK,49.07,-119.02,610 m,,,1136812,,,1912-08-01,1947-12-01,
ROCK CREEK MT BALDY,49.12,-119.16,1174 m,,,1136813,,,1988-09-01,2000-12-01,
ROCK CREEK WEST,49.05,-119.07,975 m,,,1136815,,,1963-12-01,1966-12-01,
ROCK ISLAND LAKE LO,55.33,-113.47,716 m,,,3065515,,,1977-04-01,2011-09-01,
ROCK POINT,51.15,-107.26,725 m,,,4026847,,,1973-05-01,2021-03-01,
ROCK RIVER (Rock River),66.98,-136.22,731 m,WRR,71506,2100935,1994-02-01,+,1995-02-01,+,Rock River
ROCKGLEN (AUT) (Rockglen),49.17,-105.98,917 m,WKO,71135,4036844,1970-12-08,+,1970-12-01,+,Rockglen
ROCKLYN,44.47,-80.63,433 m,,,6117169,,,1989-10-01,2004-09-01,
ROCKY HARBOUR,49.57,-57.88,68 m,,,8403096,,,1972-07-01,1993-04-01,
ROCKY HARBOUR CS (Rocky Harbour),49.57,-57.88,68 m,XRH,71588,8403097,1999-07-06,+,1993-01-01,+,Gros Morne
,,,,,,,,,,,Rocky Harbour
ROCKY LANE AGCM,58.45,-116.48,301 m,PKY,,3075550,2013-10-28,+,2018-05-01,2021-03-01,
ROCKY MOUNTAIN HOUSE,52.38,-114.92,969 m,,,3015530,,,1915-08-01,1946-08-01,
ROCKY MTN HOUSE,52.38,-114.92,1015 m,,,3015520,1953-01-01,1978-03-31,1945-01-01,1978-01-01,
ROCKY MTN HOUSE (AUT) (Rocky Mountain House),52.42,-114.91,988 m,WRM,71928,3015523,1994-02-01,+,1992-12-01,+,Rocky Mountain House
