,Station,Station ID,Province,Index_col,Monthly Range,Daily Range
6591,TORONTO SCARBOROUGH,5114,ON,1473,1961-01-01|1971-12-01,1961-04-01|1971-06-30
6592,TORONTO SCARLETT RD,5115,ON,1474,1951-01-01|1962-12-01,1951-01-01|1962-09-30
6593,TORONTO SENECA HILL,5088,ON,1475,1973-01-01|1987-12-01,1973-06-01|1987-04-30
6594,TORONTO SHERBOURNE,5089,ON,1476,1966-01-01|1979-12-01,1966-04-01|1979-11-30
6595,TORONTO SOLAR RADIATION,41863,ON,1477,|,2018-05-14|2018-05-14
6596,TORONTO STUART AVENUE,5116,ON,1478,1959-01-01|1963-12-01,1959-11-01|1963-07-31
6597,TORONTO SUNNYBROOK,5117,ON,1479,1962-01-01|1993-12-01,1962-08-01|1993-02-28
6598,TORONTO TABER PARK,5090,ON,1480,|,1965-07-01|1965-09-30
6599,TORONTO TORBARRIE,4842,ON,1481,1983-01-01|1984-12-01,1983-10-01|1984-08-31
6600,TORONTO VICTORIA,5118,ON,1482,1957-01-01|1961-12-01,1957-10-01|1961-02-28
6601,TORONTO WEST DEANE PARK,5119,ON,1483,1959-01-01|1974-12-01,1959-11-01|1974-11-30
6602,TORONTO WEST HILL,5120,ON,1484,1951-01-01|1986-12-01,1951-01-01|1986-07-31
6603,TORONTO WESTWOOD,5121,ON,1485,1967-01-01|1972-12-01,1967-05-01|1972-06-30
6604,TORONTO WEXFORD,5122,ON,1486,1953-01-01|1958-12-01,1953-04-01|1958-02-28
6605,TORONTO WILLOWDALE,5123,ON,1487,1953-01-01|1970-12-01,1953-11-01|1970-03-31
6606,TORONTO WILSON HEIGHTS,5124,ON,1488,1953-01-01|1973-12-01,1953-07-01|1973-08-31
6607,TORONTO YORK MILLS,4840,ON,1489,1973-01-01|1987-12-01,1973-06-01|1987-04-30
6608,TOTTENHAM,4521,ON,1490,1971-01-01|1979-12-01,1971-09-01|1979-11-30
6609,TOTTENHAM PEARSON,4522,ON,1491,1973-01-01|1978-12-01,1973-09-01|1978-05-31
6610,TRAFALGAR MARINE,5125,ON,1492,1959-01-01|1971-12-01,1959-04-01|1971-03-31
6611,TRANQUILLO RIDGE,6899,ON,1493,1991-01-01|2006-12-01,1991-06-01|2007-12-31
6612,TRENTON A,5126,ON,1494,1935-01-01|2017-12-01,1935-01-01|2020-06-30
6613,TRENTON AWOS,30723,ON,1495,|,2018-10-30|2021-02-25
6614,TRENTON DOMTAR,5127,ON,1496,1989-01-01|1990-12-01,1989-11-01|1990-12-31
6615,TRENTON MOE,5130,ON,1497,1960-01-01|1978-12-01,1960-09-01|1978-10-31
6616,TRENTON ONT HYDRO,5128,ON,1498,1915-01-01|1992-12-01,1915-07-01|1992-03-31
6617,TRETHEWEY FALLS,4523,ON,1499,1950-01-01|1956-12-01,1950-05-01|1956-10-31
6618,TROUT CREEK,4524,ON,1500,1981-01-01|2006-08-01,1981-07-01|2006-08-31
6619,TROUT LAKE,4056,ON,1501,1980-01-01|1981-12-01,1980-08-01|1981-08-31
6620,TROWBRIDGE (AUT),7977,ON,1502,|,1994-12-29|2000-05-25
6621,TURBINE,4135,ON,1503,1914-01-01|1990-12-01,1914-06-01|1990-03-31
6622,TWEED,5133,ON,1504,1925-01-01|1972-12-01,1925-04-01|1972-04-30
6623,TWEED ONTARIO HYDRO,5135,ON,1505,1983-01-01|1986-12-01,1983-05-01|1986-08-31
6624,TWIN FALLS,4182,ON,1506,1955-01-01|1973-12-01,1955-03-01|1973-09-30
6625,TYRONE,5136,ON,1507,1967-01-01|1999-10-01,1967-07-01|1999-10-31
6626,UDORA,4525,ON,1508,1989-01-01|2006-12-01,1989-09-01|2021-02-20
6627,UNIONVILLE,5137,ON,1509,1960-01-01|1974-12-01,1960-12-01|1974-12-31
6628,UNIONVILLE OWRC,5138,ON,1510,1970-01-01|1970-12-01,1970-02-01|1970-03-31
6629,UPLANDS,4526,ON,1511,1886-01-01|1913-12-01,1886-07-01|1913-02-28
6630,UPPER NOTCH,4183,ON,1512,1950-01-01|1971-12-01,1950-06-01|1971-06-30
6631,UPSALA,4058,ON,1513,1947-01-01|1972-12-01,1947-07-01|1972-01-31
6632,UPSALA (AUT),4057,ON,1514,1972-01-01|2006-11-01,1973-01-01|2021-02-25
6633,UPSALA TCPL 62,4059,ON,1515,1970-01-01|1986-12-01,1970-10-01|1986-06-30
6634,URSA,5195,ON,1516,1895-01-01|1913-12-01,1895-09-01|1913-09-30
6635,UTTERSON ONT HYDRO,4528,ON,1517,1971-01-01|1983-12-01,1971-05-01|1983-06-30
6636,UXBRIDGE,5139,ON,1518,1899-01-01|1923-12-01,1899-05-01|1950-09-30
6637,UXBRIDGE,5132,ON,1519,1983-01-01|1992-12-01,1983-05-01|1992-07-31
6638,UXBRIDGE 2,5140,ON,1520,1948-01-01|1977-12-01,1948-04-01|1977-06-30
6639,UXBRIDGE 3,5141,ON,1521,1970-01-01|1981-12-01,1970-01-01|1981-01-31
6640,UXBRIDGE WEST,50637,ON,1522,|,2012-07-30|2021-02-25
6641,VALENS,5142,ON,1523,1968-01-01|1994-12-01,1968-09-01|1994-04-30
6642,VALLENTYNE,4529,ON,1524,1983-01-01|1989-12-01,1983-05-01|1989-07-31
6643,VALORA,3972,ON,1525,1957-01-01|1959-12-01,1957-10-01|1959-03-31
6644,VAN WAGNERS BEACH,5143,ON,1526,1958-01-01|1959-12-01,1958-08-01|1959-06-30
6645,VANDORF,5131,ON,1527,1966-01-01|1966-12-01,1966-06-01|1966-06-30
6646,VANESSA,4700,ON,1528,1961-01-01|1961-12-01,1961-08-01|1961-10-31
6647,VANKLEEK HILL,4390,ON,1529,1902-01-01|1961-12-01,1896-02-01|1961-01-31
6648,VANKOUGHNET,4527,ON,1530,1976-01-01|1978-12-01,1976-06-01|1978-09-30
6649,VERMILION BAY TCPL 52,3973,ON,1531,1969-01-01|1984-12-01,1969-12-01|1984-09-30
6650,VICTORIA,5144,ON,1532,1952-01-01|1954-12-01,1952-01-01|1954-11-30
6651,VINELAND,6907,ON,1533,1993-01-01|2006-12-01,1993-10-01|2013-12-31
6652,VINELAND BALLS FALLS,4701,ON,1534,1974-01-01|1994-12-01,1974-03-01|1994-11-30
6653,VINELAND RITTENHOUSE,4702,ON,1535,1965-01-01|2001-12-01,1965-01-01|2001-12-31
6654,VINELAND STATION,4703,ON,1536,1924-01-01|1988-12-01,1924-09-01|1988-12-31
6655,VINELAND STATION AUTOMATIC CLIMATE STATION,4704,ON,1537,1989-01-01|1990-12-01,1989-01-01|1990-10-31
6656,VINELAND STATION RCS,31367,ON,1538,2003-10-01|2006-12-01,2002-02-07|2021-02-25
6657,VIOLET HILL,4828,ON,1539,1963-01-01|1968-12-01,1963-06-01|1968-07-31
6658,VIRGIL BRIGHTS,4705,ON,1540,1965-01-01|1978-12-01,1965-01-01|1978-03-31
6659,WABAGISHIK,4137,ON,1541,1978-01-01|1989-12-01,1978-08-01|1989-04-30
6660,WABOOSE DAM,4060,ON,1542,1941-01-01|1956-12-01,1941-08-01|1956-09-30
6661,WAHNAPITAE-STOKES,4138,ON,1543,1990-01-01|1991-11-01,1990-05-01|1991-07-31
6662,WALDEMAR,4829,ON,1544,1955-01-01|1984-12-01,1955-07-01|1985-02-28
6663,WALFORD,4100,ON,1545,1976-01-01|1979-12-01,1976-10-01|1979-04-30
6664,WALFORD,4101,ON,1546,1979-01-01|1979-12-01,1979-09-01|1979-09-30
6665,WALKERTON,4600,ON,1547,1902-01-01|1971-12-01,1902-08-01|1971-12-31
6666,WALLACEBURG,4706,ON,1548,1905-01-01|1997-04-01,1905-09-01|1997-04-30
6667,WALLACETOWN,4707,ON,1549,1962-01-01|1965-12-01,1962-05-01|1965-08-31
6668,WALSINGHAM SANTO,4708,ON,1550,1968-01-01|1968-12-01,1968-06-01|1968-06-30
6669,WALTERS FALLS,4530,ON,1551,1983-01-01|2006-07-01,1983-05-01|2006-07-31
6670,WARDSVILLE,4709,ON,1552,1970-01-01|1977-12-01,1970-05-01|1977-02-28
6671,WARKWORTH,27616,ON,1553,1998-06-01|2000-12-01,1998-06-01|2000-12-31
6672,WARREN,4136,ON,1554,1987-01-01|1998-07-01,1987-11-01|1998-07-31
6673,WARSAW,6912,ON,1555,1991-01-01|2006-12-01,1991-08-01|2008-03-31
6674,WASAGA BEACH,4531,ON,1556,1972-01-01|1974-12-01,1972-12-01|1974-05-31
6675,WASAGA BEACH,10088,ON,1557,|,|
6676,WASAGA BEACH,4532,ON,1558,1978-01-01|1981-12-01,1978-11-01|1981-04-30
6677,WASDELLS,4533,ON,1559,1950-01-01|1957-12-01,1950-05-01|1957-03-31
6678,WASHAGO,4534,ON,1560,1927-01-01|1970-12-01,1927-11-01|1970-11-30
6679,WATCOMB,3974,ON,1561,1970-01-01|1977-12-01,1969-12-01|1977-08-31
6680,WATERFORD,4711,ON,1562,1971-01-01|2006-12-01,1971-05-01|2014-02-28
6681,WATERFORD,4710,ON,1563,1948-01-01|1959-12-01,1948-03-01|1959-01-31
6682,WATERLOO FIRE HALL,4830,ON,1564,1973-01-01|1974-12-01,1973-09-01|1974-10-31
6683,WATERLOO WELLINGTON 2,42424,ON,1565,2003-12-01|2006-12-01,2003-12-01|2017-04-14
6684,WATERLOO WELLINGTON A,4832,ON,1566,1970-01-01|2002-10-01,1970-03-01|2003-02-25
6685,WATERLOO WPCP,4831,ON,1567,1962-01-01|2000-07-01,1962-09-01|2000-07-31
6686,WATFORD,4601,ON,1568,1883-01-01|1961-12-01,1883-04-01|1961-08-31
6687,WAUBAUSHENE,4535,ON,1569,1936-01-01|1956-12-01,1936-05-01|1956-11-30
6688,WAWA,4103,ON,1570,1969-01-01|1984-12-01,1969-09-01|1984-08-31
6689,WAWA (AUT),4102,ON,1571,1940-01-01|2006-12-01,1940-03-01|2006-12-31
6690,WAWA A,4099,ON,1572,1977-01-01|2014-10-01,1977-01-01|2014-10-01
6691,WAWA A,52818,ON,1573,|,2014-10-02|2018-10-29
6692,WAWA A,52998,ON,1574,|,2018-10-29|2021-02-25
6693,WAWAITIN,4184,ON,1575,1913-01-01|1965-12-01,1913-01-01|1965-07-31
6694,WEBBWOOD,4139,ON,1576,1983-01-01|1986-12-01,1983-10-01|1986-09-30
6695,WELCOME ISLAND (AUT),4061,ON,1577,1967-01-01|1985-12-01,1967-05-01|2021-02-25
6696,WELLAND,4712,ON,1578,1872-01-01|2006-12-01,1872-10-01|2014-08-09
6697,WELLAND CHOW,4713,ON,1579,1960-01-01|1960-12-01,1960-10-01|1960-11-30
6698,WELLAND-PELHAM,44283,ON,1580,2005-11-01|2006-12-01,2005-11-01|2021-02-25
6699,WELLINGTON,5145,ON,1581,1948-01-01|1991-12-01,1948-05-01|1991-12-31
6700,WEST GUILFORD,5196,ON,1582,1968-01-01|1987-12-01,1968-04-01|1987-09-30
6701,WESTERN ISLAND (AUT),7733,ON,1583,|,1994-12-30|2021-02-25
6702,WESTERN ISLANDS,4536,ON,1584,1966-01-01|1969-12-01,1966-09-01|1969-12-31
6703,WESTMINSTER,4833,ON,1585,1882-01-01|1933-12-01,1882-06-01|1933-12-31
6704,WESTMINSTER TWP WPCP,4834,ON,1586,1961-01-01|1994-12-01,1961-02-01|1994-06-30
6705,WESTOVER,4847,ON,1587,1967-01-01|1967-12-01,1967-10-01|1967-10-31
6706,WESTPORT,4391,ON,1588,1895-01-01|1920-12-01,1895-08-01|1920-12-31
6707,WEXFORD,5146,ON,1589,1912-01-01|1929-12-01,1912-05-01|1929-07-31
6708,WHITBY MUELLER,31008,ON,1590,2001-06-01|2006-05-01,2001-06-01|2006-05-31
6709,WHITBY PRINGLE CREEK,27004,ON,1591,1994-01-01|1995-11-01,1994-03-01|1995-11-30
6710,WHITE LAKE FISH CULTURE STATION,43823,ON,1592,2005-06-01|2005-09-01,2005-06-01|2005-09-30
6711,WHITE RIVER,4104,ON,1593,1886-01-01|1976-12-01,1886-09-01|1976-02-29
6712,WHITEFISH BAY,3975,ON,1594,1914-01-01|1946-12-01,1914-10-01|1946-09-30
6713,WHITEFISH LAKE,4062,ON,1595,1980-01-01|2006-12-01,1980-04-01|2008-10-31
6714,WIARTON,4537,ON,1596,1883-01-01|1936-12-01,1883-04-01|1936-11-30
6715,WIARTON,10787,ON,1597,|,|
6716,WIARTON A,53139,ON,1598,|,2014-11-06|2021-02-25
6717,WIARTON A,54259,ON,1599,|,2018-10-29|2021-02-25
6718,WIARTON A,4538,ON,1600,1947-01-01|2014-11-01,1947-07-01|2014-11-05
6719,WILCOX LAKE,5147,ON,1601,1960-01-01|1979-12-01,1960-07-01|1979-03-31
6720,WILDER LAKE,29391,ON,1602,1999-12-01|2006-12-01,1999-12-01|2009-01-04
6721,WILSONVILLE,4714,ON,1603,1959-01-01|1964-12-01,1959-05-01|1964-03-31
6722,WINCHESTER,42005,ON,1604,|,2003-10-09|2007-06-14
6723,WINCHESTER CS,27605,ON,1605,1998-07-01|2001-09-01,1998-07-01|2001-09-30
6724,WINDSOR A,54738,ON,1606,|,2018-11-02|2021-02-25
6725,WINDSOR A,52838,ON,1607,|,2014-10-02|2018-11-02
6726,WINDSOR A,4716,ON,1608,1940-01-01|2014-10-01,1940-08-01|2014-10-01
6727,WINDSOR FORD PLANT,4717,ON,1609,1980-01-01|1993-12-01,1980-11-01|1993-11-30
6728,WINDSOR RIVERSIDE,4715,ON,1610,1866-01-01|2006-12-01,1866-06-01|2021-02-24
6729,WINDSOR SOUTH,4718,ON,1611,1952-01-01|1955-12-01,1952-06-01|1955-03-31
6730,WINDSOR UNIVERSITY,4719,ON,1612,1966-01-01|1980-12-01,1966-11-01|1980-02-29
6731,WINGHAM CKNX,4602,ON,1613,1959-01-01|1966-12-01,1959-03-01|1966-06-30
6732,WINISK,3925,ON,1614,1968-01-01|1978-12-01,1968-08-01|1979-05-31
6733,WINISK (AUT),7578,ON,1615,|,|
6734,WINISK A,3926,ON,1616,1959-01-01|1965-12-01,1959-01-01|1965-07-31
6735,WINONA,4720,ON,1617,1977-01-01|1977-12-01,1977-05-01|1977-09-30
6736,WOLFE ISLAND,4392,ON,1618,1986-01-01|1996-12-01,1986-01-01|1996-12-31
6737,WOODBRIDGE,5148,ON,1619,1948-01-01|2005-05-01,1948-10-01|2005-05-31
6738,WOODLAWN,4393,ON,1620,1975-01-01|1982-12-01,1975-09-01|1982-03-31
6739,WOODSLEE CDA,4721,ON,1621,1946-01-01|1988-12-01,1946-10-01|1986-08-31
6740,WOODSLEE CDA AUTOMATIC CLIMATE STATION,4722,ON,1622,1989-01-01|2001-12-01,1986-09-01|2001-12-31
6741,WOODSTOCK,4835,ON,1623,1870-01-01|2006-12-01,1870-02-01|2021-02-09
6742,WOODSTOCK GOLF COURSE,4836,ON,1624,1960-01-01|1965-12-01,1960-05-01|1965-02-28
6743,WOODSTOCK WATERWORKS,4837,ON,1625,1959-01-01|1966-12-01,1959-05-01|1966-06-30
6744,WOODVILLE,5198,ON,1626,1981-01-01|1982-12-01,1981-06-01|1982-03-31
6745,WOODVILLE,5197,ON,1627,1987-01-01|2000-08-01,1987-08-01|2000-08-31
6746,WOOLER,6911,ON,1628,1991-01-01|2006-12-01,1991-05-01|2012-11-29
6747,WOOLER,5149,ON,1629,1895-01-01|1912-12-01,1895-08-01|1912-12-31
6748,WROXETER,4603,ON,1630,1966-01-01|2006-12-01,1966-06-01|2020-12-10
6749,WYEVALE,4539,ON,1631,1978-01-01|1979-12-01,1978-05-01|1979-03-31
6750,WYOMING,4604,ON,1632,1871-01-01|1907-12-01,1871-01-01|1907-04-30
6751,ZURICH,4605,ON,1633,1881-01-01|1898-12-01,1881-07-01|1898-09-30
6752,ALBANY,6518,PE,0,1984-01-01|1993-12-01,1984-08-01|1993-03-31
6753,ALBERTON,6519,PE,1,1969-01-01|2006-02-01,1969-08-01|2008-05-31
6754,ALBERTON SNOW,49988,PE,2,|,2012-01-15|2019-03-05
6755,ALLISTON,6520,PE,3,1936-01-01|2006-02-01,1936-01-01|2016-12-31
6756,ALLISTON SNOW,47227,PE,4,|,2008-12-28|2009-04-14
6757,ARGYLE SHORE,6521,PE,5,1988-01-01|1991-11-01,1988-07-01|1991-11-30
6758,BANGOR,6522,PE,6,1971-01-01|2004-03-01,1971-12-01|2004-03-31
6759,BORDEN,6523,PE,7,1958-01-01|1967-12-01,1958-09-01|1967-12-31
6760,BRACKLEY BEACH,6524,PE,8,1952-01-01|1956-12-01,1952-05-01|1956-11-30
6761,CHARLOTTETOWN,6525,PE,9,1872-01-01|1934-12-01,1872-04-01|1934-12-31
6762,CHARLOTTETOWN A,50621,PE,10,|,2012-09-13|2021-02-25
6763,CHARLOTTETOWN A,6526,PE,11,1943-01-01|2012-09-01,1943-04-01|2012-09-12
6764,CHARLOTTETOWN CDA,6527,PE,12,1910-01-01|1992-12-01,1910-07-01|1992-05-31
6765,CHARLOTTETOWN CDA CS,6928,PE,13,1991-01-01|2001-12-01,1991-05-01|2002-06-30
6766,CHARLOTTETOWN SDU,6528,PE,14,1969-01-01|1970-12-01,1968-11-01|1970-03-31
6767,CONFEDERATION BRIDGE,27846,PE,15,|,|
6768,EAST BALTIC,6529,PE,16,1971-01-01|2000-03-01,1971-12-01|2000-03-31
6769,EAST POINT (AUT),7177,PE,17,2004-01-01|2007-07-01,1992-12-08|2020-12-13
6770,ELLERSLIE,6530,PE,18,1946-01-01|1987-12-01,1945-10-01|1987-02-28
6771,ELMWOOD,6929,PE,19,1993-01-01|2006-02-01,1993-09-01|2015-12-31
6772,ELMWOOD SNOW,49770,PE,20,|,2011-11-26|2015-05-03
6773,GEORGETOWN,6531,PE,21,1874-01-01|1899-12-01,1874-02-01|1899-10-31
6774,HAMILTON,6532,PE,22,1898-01-01|1913-12-01,1898-06-01|1913-08-31
6775,HARRINGTON CDA CS,30308,PE,23,2000-07-01|2007-07-01,2000-07-01|2021-02-25
6776,HUNTER RIVER,6533,PE,24,1971-01-01|1984-12-01,1971-12-01|1984-05-31
6777,KILMAHUMAIG,6534,PE,25,1878-01-01|1893-12-01,1878-07-01|1893-12-31
6778,KINGSBORO,30618,PE,26,2000-11-01|2006-02-01,2000-11-01|2007-11-13
6779,KINGSBORO SNOW,49771,PE,27,|,2011-11-25|2016-04-29
6780,LONG CREEK SNOW,49768,PE,28,|,2011-11-23|2014-04-29
6781,LONG RIVER,6538,PE,29,1957-01-01|2003-06-01,1957-01-01|2003-06-30
6782,LONG RIVER,41823,PE,30,2003-01-01|2004-03-01,2003-01-01|2004-03-31
6783,MAPLE PLAINS,31029,PE,31,2004-06-01|2007-07-01,2004-01-01|2021-02-25
6784,MONTAGUE,6535,PE,32,1961-01-01|1977-12-01,1961-10-01|1977-09-30
6785,MONTICELLO,6536,PE,33,1959-01-01|2003-12-01,1959-07-01|2003-12-31
6786,MORELL SNOW,49772,PE,34,|,2011-11-25|2016-04-29
6787,NEW GLASGOW,6537,PE,35,1971-01-01|2006-02-01,1971-10-01|2021-02-02
6788,NEWTOWN CROSS,6539,PE,36,1984-01-01|1997-06-01,1984-08-01|1997-06-30
6789,NORTH CAPE,10814,PE,37,2005-11-01|2007-07-01,2002-10-18|2021-02-25
6790,O'LEARY,6540,PE,38,1957-01-01|2004-03-01,1957-01-01|2004-03-31
6791,ROSE VALLEY,6541,PE,39,1957-01-01|1960-12-01,1957-05-01|1960-12-31
6792,SEA COW POND,6542,PE,40,1974-01-01|1974-12-01,1974-06-01|1974-09-30
6793,SOURIS,6543,PE,41,1967-01-01|1987-12-01,1967-08-01|1987-06-30
6794,SOUTH PINETTE,6544,PE,42,1982-01-01|1983-12-01,1982-05-01|1983-04-30
6795,ST NICHOLAS,6930,PE,43,1992-01-01|1994-12-01,1992-11-01|1994-04-30
6796,ST. PETERS,41903,PE,44,2004-01-01|2007-07-01,2003-08-14|2021-02-25
6797,STANHOPE,6545,PE,45,1961-01-01|2007-07-01,1961-06-01|2021-02-25
6798,SUMMERSIDE,10800,PE,46,2004-01-01|2007-07-01,1999-07-19|2021-02-25
6799,SUMMERSIDE A,6547,PE,47,1942-01-01|2002-06-01,1942-05-01|2002-06-30
6800,SUMMERSIDE CDA,6546,PE,48,1929-01-01|1963-12-01,1929-06-01|1963-03-31
6801,SUMMERSIDE SNOW 2,49773,PE,49,|,2011-11-23|2015-03-20
6802,TIGNISH,6548,PE,50,1972-01-01|1993-12-01,1971-12-01|1993-06-30
6803,TYNE VALLEY,6549,PE,51,1990-01-01|2006-01-01,1990-05-01|2009-05-06
6804,TYNE VALLEY 2,49788,PE,52,|,2011-11-26|2013-10-19
6805,VERNON BRIDGE,30701,PE,53,2000-09-01|2001-04-01,2000-09-01|2001-04-30
6806,VICTORIA,6931,PE,54,1993-01-01|2004-10-01,1993-12-01|2004-11-30
6807,WELLINGTON,6550,PE,55,1957-01-01|1993-12-01,1957-01-01|1993-10-31
6808,ABERCORN,5308,QC,0,1950-01-01|1985-12-01,1950-12-01|1985-01-31
6809,ABITIBI POST,6018,QC,1,1896-01-01|1936-12-01,1896-07-01|1936-02-29
6810,ACTON VALE,5309,QC,2,1964-01-01|1973-12-01,1964-06-01|1973-08-31
6811,AIGREMONT,5886,QC,3,1973-01-01|1980-12-01,1973-11-01|1982-03-31
6812,AKULIVIK A,54067,QC,4,|,|
6813,AKULIVIK A,10789,QC,5,|,|
6814,AKULIVIK A,54068,QC,6,|,2018-10-29|2021-02-25
6815,ALBANEL,5887,QC,7,1922-01-01|1991-12-01,1922-06-01|1991-01-31
6816,ALBERTVILLE,5759,QC,8,1963-01-01|1985-12-01,1963-01-01|1985-01-31
6817,AMHERST ISLAND CDA EPF,5760,QC,9,1959-01-01|1962-12-01,1957-05-01|1962-09-30
6818,AMOS,6019,QC,10,1913-01-01|2000-05-01,1913-06-01|2000-05-31
6819,AMQUI,26887,QC,11,|,1996-08-22|2019-07-08
6820,AMQUI,5761,QC,12,1957-01-01|1997-10-01,1957-03-01|1997-10-31
6821,ANGERS,5574,QC,13,1962-01-01|2018-02-01,1962-01-01|2020-12-31
6822,ANSE AU GRIFFON,5762,QC,14,1973-01-01|1985-12-01,1973-09-01|1985-01-31
6823,ANTICOSTI HEATH POINT,5763,QC,15,1882-01-01|1935-12-01,1882-07-01|1935-09-30
6824,ANTICOSTI SW POINT,5764,QC,16,1872-01-01|1954-12-01,1872-02-01|1954-10-31
6825,ANTICOSTI WEST POINT,5765,QC,17,1882-01-01|1933-12-01,1882-08-01|1933-08-31
6826,ARMAGH,5766,QC,18,1916-01-01|1994-12-01,1916-06-01|1994-05-31
6827,ARMAGH STATION,5767,QC,19,1966-01-01|1986-12-01,1966-12-01|1986-11-30
6828,ARTHABASKA,5310,QC,20,1969-01-01|2018-02-01,1969-10-01|2020-12-31
6829,ARUNDEL,5575,QC,21,1963-01-01|2017-05-01,1963-12-01|2020-12-31
6830,ARVIDA,5888,QC,22,1931-01-01|1988-12-01,1931-07-01|1989-09-30
6831,ASBESTOS,5311,QC,23,1948-01-01|1987-12-01,1948-05-01|1987-04-30
6832,ASBESTOS HILL,6087,QC,24,1960-01-01|1963-12-01,1960-05-01|1963-11-30
6833,AUDET,5312,QC,25,1965-01-01|1985-12-01,1965-05-01|1985-01-31
6834,AUPALUK A,54058,QC,26,|,2018-10-29|2021-02-25
6835,AUPALUK A,10855,QC,27,|,|
6836,AUPALUK A,54038,QC,28,|,|
6837,AUTEUIL,5313,QC,29,1983-01-01|2016-03-01,1983-06-01|2016-11-30
6838,BAGOTVILLE A,5889,QC,30,1942-01-01|2017-12-01,1942-09-01|2021-02-25
6839,BAIE COMEAU,5659,QC,31,1966-01-01|1980-12-01,1966-01-01|1980-06-30
6840,BAIE COMEAU CBA,5663,QC,32,1958-01-01|1966-12-01,1958-09-01|1966-12-31
6841,BAIE DES SABLES,5757,QC,33,1981-01-01|2004-04-01,1981-06-01|2004-04-30
6842,BAIE JOHAN BEETZ,5660,QC,34,1965-01-01|2004-04-01,1965-07-01|2004-04-30
6843,BAIE ST PAUL,5664,QC,35,1963-01-01|2004-04-01,1963-01-01|2004-04-30
6844,BAIE WAKEHAM,6086,QC,36,1966-01-01|1967-12-01,1966-10-01|1967-02-28
6845,BAIE-COMEAU,26889,QC,37,|,1996-01-31|2021-02-25
6846,BAIE-COMEAU,48968,QC,38,|,2010-11-18|2021-02-25
6847,BAIE-COMEAU A,5662,QC,39,1947-01-01|2004-12-01,1947-06-01|2005-01-20
6848,BAIE-COMEAU A,30173,QC,40,2005-01-01|2005-12-01,2005-01-01|2021-02-25
6849,BARK LAKE,5576,QC,41,1912-01-01|1929-12-01,1912-11-01|1929-10-31
6850,BARNSTON,5307,QC,42,1965-01-01|1982-12-01,1965-05-01|1982-03-31
6851,BARRAGE A LAC KEMPT,5946,QC,43,1913-01-01|1970-12-01,1913-01-01|1970-03-31
6852,BARRAGE ANGLIERS,5976,QC,44,1911-01-01|1996-05-01,1911-02-01|2007-10-16
6853,BARRAGE CABONGA,5975,QC,45,1929-01-01|1969-12-01,1929-08-01|1969-11-30
6854,BARRAGE CICONCINE,5947,QC,46,1942-01-01|1967-12-01,1942-06-01|1967-03-31
6855,BARRAGE GOUIN,5949,QC,47,1913-01-01|1981-12-01,1913-05-01|1982-12-31
6856,BARRAGE GOUIN S,5945,QC,48,1973-01-01|1974-12-01,1973-06-01|1974-08-31
6857,BARRAGE LAC MORIN,5768,QC,49,1942-01-01|1984-12-01,1942-12-01|1984-06-30
6858,BARRAGE MATTAWIN,5950,QC,50,1929-01-01|1982-12-01,1929-11-01|1982-12-31
6859,BARRAGE MERCIER,5577,QC,51,1927-01-01|1980-12-01,1927-01-01|1980-05-31
6860,BARRAGE MISTIGOUGECHE,5769,QC,52,1961-01-01|1966-12-01,1961-08-01|1966-11-30
6861,BARRAGE MITCHINAMECUS,5578,QC,53,1941-01-01|1967-12-01,1941-07-01|1967-10-31
6862,BARRAGE MITIS,5770,QC,54,1926-01-01|1966-12-01,1926-07-01|1966-06-30
6863,BARRAGE MONDONAC,5951,QC,55,1943-01-01|1966-12-01,1943-05-01|1966-08-31
6864,BARRAGE TEMISCAMINGUE,5977,QC,56,1910-01-01|1995-10-01,1910-04-01|2021-02-25
6865,BARRAUTE,6020,QC,57,1959-01-01|1994-12-01,1958-12-01|1994-05-31
6866,BARRIERE CLERMONT,5661,QC,58,1973-01-01|1978-12-01,1973-06-01|1978-07-31
6867,BARRIERE ETIENNICHE,5885,QC,59,1973-01-01|1975-12-01,1973-06-01|1975-05-31
6868,BARRIERE JALBERT,5658,QC,60,1972-01-01|1975-12-01,1972-12-01|1975-03-31
6869,BARRIERE LOUVICOURT,6021,QC,61,1963-01-01|1974-12-01,1963-01-01|1974-06-30
6870,BARRIERE MILOT,5884,QC,62,1973-01-01|1980-12-01,1973-06-01|1980-09-30
6871,BARRIERE MISTIGOUGECHE,5758,QC,63,1967-01-01|1967-12-01,1967-10-01|1967-10-31
6872,BARRIERE MITIS,5756,QC,64,1966-01-01|1982-12-01,1966-11-01|1982-03-31
6873,BARRIERE N CHIBOUGAMAU,5891,QC,65,1963-01-01|1973-12-01,1963-02-01|1974-05-31
6874,BARRIERE QUINN,5579,QC,66,1963-01-01|1973-12-01,1963-01-01|1973-05-31
6875,BARRIERE ST GUILLAUME,5944,QC,67,1973-01-01|1973-12-01,1973-01-01|1973-10-31
6876,BARRIERE STONEHAM,5205,QC,68,1963-01-01|1976-12-01,1963-01-01|1976-03-31
6877,BARRIERE SUD LA DORE,5890,QC,69,1963-01-01|1975-12-01,1963-02-01|1975-05-31
6878,BARRIERE TOURILLI,5206,QC,70,1949-01-01|1960-12-01,1949-08-01|1960-09-30
6879,BARVILLE,6022,QC,71,1953-01-01|1957-12-01,1953-08-01|1957-08-31
